packet id 001 loss!!!
packet id 002 delay: 5255792
packet id 003 delay: 7309448
packet id 004 delay: 5962608
packet id 005 delay: 1078592
packet id 006 delay: 1331576
packet id 007 loss!!!
packet id 008 delay: 775720
packet id 009 delay: 4567904
packet id 010 delay: 5701240
packet id 011 delay: 3796896
packet id 012 delay: 4092824
packet id 013 loss!!!
packet id 014 delay: 1737808
packet id 015 delay: 6117776
packet id 016 delay: 4482440
packet id 017 delay: 3279632
packet id 018 delay: 422760
packet id 019 delay: 1496752
packet id 020 delay: 554040
packet id 021 delay: 303720
packet id 022 delay: 638440
packet id 023 delay: 517240
packet id 024 delay: 239680
packet id 025 delay: 640840
packet id 026 delay: 233960
packet id 027 delay: 288280
packet id 028 delay: 246360
packet id 029 delay: 272200
packet id 030 loss!!!
packet id 031 delay: 605800
packet id 032 delay: 617880
packet id 033 delay: 3939440
packet id 034 delay: 255280
packet id 035 delay: 271400
packet id 036 delay: 198200
packet id 037 delay: 240320
packet id 038 delay: 299920
packet id 039 delay: 232720
packet id 040 delay: 258920
packet id 041 delay: 2466208
packet id 042 delay: 274680
packet id 043 delay: 735400
packet id 044 delay: 2757656
packet id 045 delay: 4758320
packet id 046 delay: 5239136
packet id 047 delay: 254680
packet id 048 delay: 2424280
packet id 049 delay: 845760
packet id 050 delay: 1207400
packet id 051 delay: 288200
packet id 052 delay: 1805072
packet id 053 delay: 545400
packet id 054 delay: 1372760
packet id 055 delay: 339560
packet id 056 delay: 252680
packet id 057 delay: 1734160
packet id 058 delay: 90880
packet id 059 loss!!!
packet id 060 delay: 1666120
packet id 061 delay: 593480
packet id 062 delay: 261680
packet id 063 delay: 285720
packet id 064 delay: 236560
packet id 065 delay: 588840
packet id 066 delay: 382400
packet id 067 delay: 192200
packet id 068 delay: 3911560
packet id 069 delay: 316680
packet id 070 delay: 2513704
packet id 071 delay: 239200
packet id 072 delay: 325680
packet id 073 delay: 2332680
packet id 074 delay: 727400
packet id 075 delay: 243360
packet id 076 delay: 254200
packet id 077 delay: 1071160
packet id 078 delay: 517280
packet id 079 delay: 505560
packet id 080 delay: 269280
packet id 081 delay: 1238320
packet id 082 delay: 242280
packet id 083 delay: 4682640
packet id 084 delay: 942840
packet id 085 delay: 1140280
packet id 086 delay: 511960
packet id 087 delay: 442080
packet id 088 delay: 223320
packet id 089 delay: 1357080
packet id 090 delay: 291720
packet id 091 delay: 1866640
packet id 092 delay: 134200
packet id 093 delay: 237640
packet id 094 delay: 592920
packet id 095 delay: 1131480
packet id 096 delay: 303400
packet id 097 delay: 2454200
packet id 098 delay: 349960
packet id 099 delay: 561200
packet id 100 delay: 178200
packet id 101 delay: 1579360
packet id 102 delay: 665360
packet id 103 delay: 383400
packet id 104 delay: 256200
packet id 105 delay: 97880
packet id 106 delay: 178352
packet id 107 delay: 236560
packet id 108 delay: 1097400
packet id 109 delay: 248720
packet id 110 delay: 179200
packet id 111 delay: 2531160
packet id 112 delay: 179200
packet id 113 delay: 1528200
packet id 114 loss!!!
packet id 115 delay: 246680
packet id 116 delay: 186200
packet id 117 delay: 237232
packet id 118 loss!!!
packet id 119 delay: 252200
packet id 120 delay: 244400
packet id 121 delay: 796760
packet id 122 delay: 226960
packet id 123 delay: 245680
packet id 124 delay: 557936
packet id 125 delay: 1217720
packet id 126 delay: 480520
packet id 127 delay: 2703440
packet id 128 delay: 280040
packet id 129 delay: 747840
packet id 130 loss!!!
packet id 131 delay: 304680
packet id 132 delay: 1093240
packet id 133 delay: 557320
packet id 134 delay: 219880
packet id 135 delay: 174200
packet id 136 delay: 240480
packet id 137 delay: 1886600
packet id 138 delay: 576280
packet id 139 delay: 121600
packet id 140 delay: 3340280
packet id 141 delay: 1513520
packet id 142 delay: 2492448
packet id 143 delay: 182200
packet id 144 delay: 182560
packet id 145 delay: 3131840
packet id 146 delay: 1173960
packet id 147 delay: 1000480
packet id 148 delay: 261680
packet id 149 delay: 566600
packet id 150 delay: 240488
packet id 151 delay: 519440
packet id 152 delay: 1639120
packet id 153 delay: 2510920
packet id 154 delay: 360240
packet id 155 delay: 3795200
packet id 156 delay: 252680
packet id 157 delay: 1092280
packet id 158 delay: 465000
packet id 159 delay: 2447960
packet id 160 delay: 233320
packet id 161 delay: 315680
packet id 162 delay: 222200
packet id 163 delay: 592800
packet id 164 delay: 547200
packet id 165 delay: 1245440
packet id 166 delay: 226600
packet id 167 loss!!!
packet id 168 delay: 222200
packet id 169 delay: 162440
packet id 170 delay: 707920
packet id 171 delay: 454120
packet id 172 delay: 137920
packet id 173 delay: 316400
packet id 174 delay: 279040
packet id 175 delay: 686640
packet id 176 delay: 3245080
packet id 177 delay: 199200
packet id 178 delay: 421880
packet id 179 delay: 187200
packet id 180 delay: 565080
packet id 181 delay: 292600
packet id 182 delay: 305720
packet id 183 delay: 434920
packet id 184 delay: 207680
packet id 185 delay: 189560
packet id 186 delay: 405480
packet id 187 delay: 242280
packet id 188 delay: 271200
packet id 189 delay: 223200
packet id 190 delay: 272680
packet id 191 delay: 191560
packet id 192 delay: 248880
packet id 193 delay: 293400
packet id 194 loss!!!
packet id 195 delay: 226200
packet id 196 delay: 677680
packet id 197 delay: 176200
packet id 198 delay: 248680
