packet id 001 loss!!!
packet id 245 delay: 890984
packet id 246 delay: 135048
packet id 247 delay: 412168
packet id 248 delay: 189208
packet id 249 delay: 720248
packet id 250 delay: 429448
packet id 251 delay: 594568
packet id 252 delay: 158376
packet id 253 delay: 214056
packet id 254 delay: 228056
packet id 255 delay: 375208
packet id 256 delay: 269808
packet id 257 delay: 191208
packet id 258 delay: 234208
packet id 259 delay: 143528
packet id 260 delay: 177888
packet id 261 delay: 1028056
packet id 262 loss!!!
packet id 263 delay: 235736
packet id 264 delay: 143528
packet id 265 delay: 439736
packet id 266 delay: 224736
packet id 267 delay: 151208
packet id 268 delay: 267736
packet id 269 delay: 196256
packet id 270 delay: 190096
packet id 271 delay: 471648
packet id 272 delay: 167568
packet id 273 loss!!!
packet id 274 delay: 204416
packet id 275 delay: 191208
packet id 276 delay: 95256
packet id 277 delay: 283208
packet id 278 delay: 206848
packet id 279 delay: 194208
packet id 280 delay: 229208
packet id 281 delay: 285208
packet id 282 delay: 1277624
packet id 283 delay: 246208
packet id 284 delay: 172408
packet id 285 delay: 2823688
packet id 286 delay: 198208
packet id 287 delay: 317368
packet id 288 delay: 956168
packet id 289 delay: 188888
packet id 290 delay: 243816
packet id 291 delay: 646368
packet id 292 loss!!!
packet id 293 delay: 250208
packet id 294 delay: 135848
packet id 295 delay: 541568
packet id 296 delay: 790368
packet id 297 delay: 223208
packet id 298 delay: 224736
packet id 299 delay: 180888
packet id 300 delay: 246208
packet id 301 delay: 190208
packet id 302 delay: 246208
packet id 303 delay: 299208
packet id 304 delay: 248736
packet id 305 delay: 211888
packet id 306 delay: 223736
packet id 307 delay: 309648
packet id 308 delay: 372568
packet id 309 delay: 256736
packet id 310 delay: 492368
packet id 311 delay: 110408
packet id 312 delay: 216736
packet id 313 delay: 190208
packet id 314 delay: 222736
packet id 315 delay: 179736
packet id 316 delay: 943248
packet id 317 delay: 236208
packet id 318 delay: 179528
packet id 319 delay: 223208
packet id 320 delay: 308912
packet id 321 delay: 152208
packet id 322 delay: 2286736
packet id 323 delay: 222736
packet id 324 delay: 190208
packet id 325 delay: 241736
packet id 326 delay: 190208
packet id 327 delay: 181736
packet id 328 delay: 1699704
packet id 329 delay: 190208
packet id 330 delay: 333856
packet id 331 delay: 558056
packet id 332 delay: 281208
packet id 333 delay: 222208
packet id 334 delay: 297208
packet id 335 delay: 216208
packet id 336 delay: 263736
packet id 337 delay: 184888
packet id 338 delay: 201568
packet id 339 delay: 499208
packet id 340 delay: 354904
packet id 341 delay: 221848
packet id 342 delay: 699608
packet id 343 delay: 152488
packet id 344 delay: 226208
packet id 345 loss!!!
packet id 346 delay: 285896
packet id 347 delay: 302272
packet id 348 delay: 190208
packet id 349 delay: 1131208
packet id 350 delay: 424448
packet id 351 delay: 180776
packet id 352 delay: 134336
packet id 353 delay: 74408
packet id 354 delay: 221056
packet id 355 delay: 465968
packet id 356 delay: 142848
packet id 357 delay: 228736
packet id 358 delay: 226208
packet id 359 delay: 599536
packet id 360 delay: 177056
packet id 361 delay: 535608
packet id 362 delay: 208208
packet id 363 delay: 474816
packet id 364 delay: 234208
packet id 365 loss!!!
packet id 366 delay: 448088
packet id 367 delay: 128168
packet id 368 delay: 243888
packet id 369 delay: 239208
packet id 370 delay: 271208
packet id 371 delay: 202168
packet id 372 delay: 205848
packet id 373 delay: 227248
packet id 374 delay: 263928
packet id 375 delay: 210848
packet id 376 delay: 3051056
packet id 377 delay: 135848
packet id 378 delay: 169376
packet id 379 delay: 247208
packet id 380 delay: 237416
packet id 381 delay: 208528
packet id 382 delay: 490248
packet id 383 delay: 218208
packet id 384 delay: 227736
packet id 385 delay: 606128
packet id 386 delay: 124696
packet id 387 delay: 721216
packet id 388 delay: 220736
packet id 389 delay: 2623168
packet id 390 delay: 281528
packet id 391 delay: 223736
packet id 392 delay: 214888
packet id 393 delay: 234736
packet id 394 delay: 3061728
packet id 395 delay: 242208
packet id 396 delay: 264208
packet id 397 delay: 300888
packet id 398 delay: 272208
packet id 399 delay: 284208
packet id 400 delay: 182208
packet id 401 delay: 174416
packet id 402 delay: 258888
packet id 403 delay: 256208
packet id 404 delay: 135848
packet id 405 delay: 1477848
packet id 406 delay: 173568
