MONITORED: % | ON: 5.44% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 14.88% | TXL: 0.00% | RXL: 0.25% | INTL: 0.00% | Energy: 22548400
MONITORED: % | ON: 0.62% | TX: 0.04% | RX: 0.03% | INT: 0.00% | ONL: 15.53% | TXL: 2.04% | RXL: 1.72% | INTL: 0.08% | Energy: 255686160
MONITORED: % | ON: 0.35% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 14.06% | TXL: 1.58% | RXL: 1.33% | INTL: 0.08% | Energy: 475892480
MONITORED: % | ON: 0.24% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 12.85% | TXL: 1.21% | RXL: 0.94% | INTL: 0.07% | Energy: 660049920
MONITORED: % | ON: 0.18% | TX: 0.02% | RX: 0.01% | INT: 0.00% | ONL: 12.30% | TXL: 1.04% | RXL: 0.77% | INTL: 0.06% | Energy: 846086480
MONITORED: % | ON: 0.14% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 11.91% | TXL: 0.91% | RXL: 0.65% | INTL: 0.06% | Energy: 1019684880
MONITORED: % | ON: 0.12% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 11.68% | TXL: 0.84% | RXL: 0.58% | INTL: 0.06% | Energy: 1197924800
MONITORED: % | ON: 0.11% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 11.55% | TXL: 0.81% | RXL: 0.53% | INTL: 0.06% | Energy: 1338626320
MONITORED: % | ON: 0.09% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 11.44% | TXL: 0.78% | RXL: 0.49% | INTL: 0.06% | Energy: 1515929120
MONITORED: % | ON: 0.08% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 11.35% | TXL: 0.76% | RXL: 0.45% | INTL: 0.06% | Energy: 1685726720
MONITORED: % | ON: 0.07% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 11.27% | TXL: 0.73% | RXL: 0.43% | INTL: 0.05% | Energy: 1854705120
MONITORED: % | ON: 0.07% | TX: 0.01% | RX: 0.00% | INT: 0.00% | ONL: 11.19% | TXL: 0.71% | RXL: 0.40% | INTL: 0.05% | Energy: 2027803920
MONITORED: % | ON: 0.06% | TX: 0.01% | RX: 0.00% | INT: 0.00% | ONL: 11.15% | TXL: 0.70% | RXL: 0.39% | INTL: 0.05% | Energy: 2202672960
MONITORED: % | ON: 0.06% | TX: 0.01% | RX: 0.00% | INT: 0.00% | ONL: 11.14% | TXL: 0.68% | RXL: 0.39% | INTL: 0.05% | Energy: 2344335360
MONITORED: % | ON: 0.65% | TX: 0.01% | RX: 0.00% | INT: 0.00% | ONL: 10.51% | TXL: 0.68% | RXL: 0.37% | INTL: 0.05% | Energy: 2525542800
MONITORED: % | ON: 1.26% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 9.88% | TXL: 0.68% | RXL: 0.34% | INTL: 0.05% | Energy: 2708416800
MONITORED: % | ON: 1.80% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 9.30% | TXL: 0.67% | RXL: 0.32% | INTL: 0.05% | Energy: 2889718000
MONITORED: % | ON: 2.27% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 8.84% | TXL: 0.68% | RXL: 0.31% | INTL: 0.04% | Energy: 3080382000
MONITORED: % | ON: 2.69% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 8.41% | TXL: 0.69% | RXL: 0.29% | INTL: 0.04% | Energy: 3272555120
MONITORED: % | ON: 3.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 8.02% | TXL: 0.67% | RXL: 0.28% | INTL: 0.04% | Energy: 3439853520
MONITORED: % | ON: 3.33% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 7.73% | TXL: 0.68% | RXL: 0.27% | INTL: 0.04% | Energy: 3600256320
MONITORED: % | ON: 3.64% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 7.42% | TXL: 0.68% | RXL: 0.26% | INTL: 0.03% | Energy: 3786692320
MONITORED: % | ON: 3.92% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 7.13% | TXL: 0.68% | RXL: 0.25% | INTL: 0.03% | Energy: 3972713920
MONITORED: % | ON: 4.17% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 6.86% | TXL: 0.67% | RXL: 0.24% | INTL: 0.03% | Energy: 4157964320
MONITORED: % | ON: 4.40% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 6.62% | TXL: 0.67% | RXL: 0.23% | INTL: 0.03% | Energy: 4338843920
MONITORED: % | ON: 4.61% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 6.40% | TXL: 0.67% | RXL: 0.22% | INTL: 0.03% | Energy: 4523912480
MONITORED: % | ON: 4.76% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 6.23% | TXL: 0.67% | RXL: 0.22% | INTL: 0.03% | Energy: 4668027680
MONITORED: % | ON: 4.95% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 6.04% | TXL: 0.67% | RXL: 0.21% | INTL: 0.03% | Energy: 4849243680
MONITORED: % | ON: 5.12% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 5.85% | TXL: 0.66% | RXL: 0.20% | INTL: 0.03% | Energy: 5028450080
MONITORED: % | ON: 5.27% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 5.68% | TXL: 0.65% | RXL: 0.20% | INTL: 0.02% | Energy: 5206204480
MONITORED: % | ON: 5.42% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 5.53% | TXL: 0.65% | RXL: 0.19% | INTL: 0.02% | Energy: 5391853280
MONITORED: % | ON: 5.56% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 5.39% | TXL: 0.66% | RXL: 0.19% | INTL: 0.02% | Energy: 5576916720
MONITORED: % | ON: 5.66% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 5.27% | TXL: 0.65% | RXL: 0.18% | INTL: 0.02% | Energy: 5718170320
MONITORED: % | ON: 5.78% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 5.15% | TXL: 0.65% | RXL: 0.18% | INTL: 0.02% | Energy: 5897669520
MONITORED: % | ON: 5.89% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 5.02% | TXL: 0.64% | RXL: 0.17% | INTL: 0.02% | Energy: 6076047120
MONITORED: % | ON: 6.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 4.90% | TXL: 0.64% | RXL: 0.17% | INTL: 0.02% | Energy: 6251741920
MONITORED: % | ON: 6.10% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 4.79% | TXL: 0.64% | RXL: 0.17% | INTL: 0.02% | Energy: 6435641920
MONITORED: % | ON: 6.20% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 4.69% | TXL: 0.64% | RXL: 0.16% | INTL: 0.02% | Energy: 6617432720
MONITORED: % | ON: 6.27% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 4.61% | TXL: 0.63% | RXL: 0.16% | INTL: 0.02% | Energy: 6759556640
