MONITORED: % | ON: 5.30% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 15.84% | TXL: 0.00% | RXL: 0.81% | INTL: 0.00% | Energy: 23410400
MONITORED: % | ON: 1.09% | TX: 0.06% | RX: 0.08% | INT: 0.00% | ONL: 20.43% | TXL: 3.45% | RXL: 3.42% | INTL: 0.41% | Energy: 345900080
MONITORED: % | ON: 0.61% | TX: 0.04% | RX: 0.05% | INT: 0.00% | ONL: 17.36% | TXL: 2.51% | RXL: 2.61% | INTL: 0.32% | Energy: 601503360
MONITORED: % | ON: 0.40% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 15.44% | TXL: 2.01% | RXL: 1.93% | INTL: 0.25% | Energy: 812395920
MONITORED: % | ON: 0.30% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 14.75% | TXL: 1.86% | RXL: 1.61% | INTL: 0.20% | Energy: 1040368560
MONITORED: % | ON: 0.24% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 14.15% | TXL: 1.70% | RXL: 1.40% | INTL: 0.18% | Energy: 1242929760
MONITORED: % | ON: 0.20% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 13.83% | TXL: 1.63% | RXL: 1.27% | INTL: 0.17% | Energy: 1456070400
MONITORED: % | ON: 0.18% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 13.61% | TXL: 1.58% | RXL: 1.21% | INTL: 0.17% | Energy: 1619147920
MONITORED: % | ON: 0.16% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 13.46% | TXL: 1.56% | RXL: 1.12% | INTL: 0.16% | Energy: 1830838720
MONITORED: % | ON: 0.14% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 13.33% | TXL: 1.55% | RXL: 1.06% | INTL: 0.15% | Energy: 2033657520
MONITORED: % | ON: 0.13% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 13.19% | TXL: 1.51% | RXL: 1.01% | INTL: 0.15% | Energy: 2229249920
MONITORED: % | ON: 0.12% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 13.11% | TXL: 1.50% | RXL: 0.97% | INTL: 0.14% | Energy: 2440500720
MONITORED: % | ON: 0.11% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 13.13% | TXL: 1.50% | RXL: 0.97% | INTL: 0.14% | Energy: 2664247520
MONITORED: % | ON: 0.11% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 13.10% | TXL: 1.51% | RXL: 0.95% | INTL: 0.14% | Energy: 2834887600
MONITORED: % | ON: 0.10% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 13.05% | TXL: 1.49% | RXL: 0.93% | INTL: 0.14% | Energy: 3052592000
MONITORED: % | ON: 0.09% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 12.97% | TXL: 1.47% | RXL: 0.90% | INTL: 0.13% | Energy: 3256134400
MONITORED: % | ON: 0.09% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 12.90% | TXL: 1.45% | RXL: 0.88% | INTL: 0.13% | Energy: 3463798000
MONITORED: % | ON: 0.08% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 12.87% | TXL: 1.45% | RXL: 0.87% | INTL: 0.13% | Energy: 3681484800
