MONITORED: % | ON: 3.79% | TX: 0.04% | RX: 0.13% | INT: 0.00% | ONL: 20.91% | TXL: 1.75% | RXL: 3.76% | INTL: 0.03% | Energy: 28416320
MONITORED: % | ON: 0.66% | TX: 0.24% | RX: 0.05% | INT: 0.00% | ONL: 17.60% | TXL: 1.01% | RXL: 3.24% | INTL: 0.17% | Energy: 279308720
MONITORED: % | ON: 0.47% | TX: 0.25% | RX: 0.03% | INT: 0.00% | ONL: 15.97% | TXL: 0.84% | RXL: 2.70% | INTL: 0.19% | Energy: 527727040
MONITORED: % | ON: 0.41% | TX: 0.25% | RX: 0.02% | INT: 0.00% | ONL: 15.41% | TXL: 0.75% | RXL: 2.49% | INTL: 0.19% | Energy: 780872720
MONITORED: % | ON: 0.36% | TX: 0.25% | RX: 0.02% | INT: 0.00% | ONL: 14.89% | TXL: 0.71% | RXL: 2.33% | INTL: 0.17% | Energy: 1016428880
MONITORED: % | ON: 0.34% | TX: 0.25% | RX: 0.01% | INT: 0.00% | ONL: 14.65% | TXL: 0.69% | RXL: 2.26% | INTL: 0.17% | Energy: 1251041120
MONITORED: % | ON: 0.34% | TX: 0.25% | RX: 0.01% | INT: 0.00% | ONL: 14.72% | TXL: 0.69% | RXL: 2.26% | INTL: 0.17% | Energy: 1509917840
MONITORED: % | ON: 0.41% | TX: 0.26% | RX: 0.02% | INT: 0.00% | ONL: 14.52% | TXL: 0.66% | RXL: 2.22% | INTL: 0.16% | Energy: 1694110880
MONITORED: % | ON: 0.56% | TX: 0.27% | RX: 0.02% | INT: 0.00% | ONL: 14.16% | TXL: 0.63% | RXL: 2.14% | INTL: 0.16% | Energy: 1911683760
MONITORED: % | ON: 0.69% | TX: 0.28% | RX: 0.03% | INT: 0.00% | ONL: 13.90% | TXL: 0.59% | RXL: 2.08% | INTL: 0.16% | Energy: 2124160720
MONITORED: % | ON: 0.78% | TX: 0.29% | RX: 0.03% | INT: 0.00% | ONL: 13.71% | TXL: 0.56% | RXL: 2.02% | INTL: 0.16% | Energy: 2340032960
MONITORED: % | ON: 0.86% | TX: 0.29% | RX: 0.03% | INT: 0.00% | ONL: 13.54% | TXL: 0.54% | RXL: 1.99% | INTL: 0.16% | Energy: 2561082080
