MONITORED: % | ON: 2.07% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 14.39% | TXL: 0.67% | RXL: 1.38% | INTL: 0.00% | Energy: 18506560
MONITORED: % | ON: 0.72% | TX: 0.08% | RX: 0.06% | INT: 0.00% | ONL: 29.61% | TXL: 7.05% | RXL: 5.02% | INTL: 1.04% | Energy: 503850800
MONITORED: % | ON: 0.38% | TX: 0.04% | RX: 0.03% | INT: 0.00% | ONL: 25.04% | TXL: 5.89% | RXL: 3.72% | INTL: 0.72% | Energy: 887834160
MONITORED: % | ON: 0.25% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 22.17% | TXL: 5.02% | RXL: 3.07% | INTL: 0.56% | Energy: 1202076640
MONITORED: % | ON: 0.19% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 21.02% | TXL: 4.69% | RXL: 2.78% | INTL: 0.49% | Energy: 1533666480
MONITORED: % | ON: 0.15% | TX: 0.02% | RX: 0.01% | INT: 0.00% | ONL: 20.49% | TXL: 4.57% | RXL: 2.60% | INTL: 0.47% | Energy: 1869664080
MONITORED: % | ON: 0.13% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 19.99% | TXL: 4.42% | RXL: 2.50% | INTL: 0.44% | Energy: 2189944720
MONITORED: % | ON: 0.12% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 19.61% | TXL: 4.28% | RXL: 2.43% | INTL: 0.42% | Energy: 2427941920
MONITORED: % | ON: 0.10% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 19.32% | TXL: 4.19% | RXL: 2.36% | INTL: 0.40% | Energy: 2736223920
MONITORED: % | ON: 0.09% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 19.04% | TXL: 4.09% | RXL: 2.30% | INTL: 0.39% | Energy: 3022430240
MONITORED: % | ON: 0.09% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 18.94% | TXL: 4.06% | RXL: 2.28% | INTL: 0.38% | Energy: 3336014080
