MONITORED: % | ON: 2.98% | TX: 0.01% | RX: 0.00% | INT: 0.00% | ONL: 13.81% | TXL: 0.67% | RXL: 0.52% | INTL: 0.02% | Energy: 18854000
MONITORED: % | ON: 0.71% | TX: 0.05% | RX: 0.06% | INT: 0.00% | ONL: 24.56% | TXL: 5.14% | RXL: 4.32% | INTL: 0.90% | Energy: 414328960
MONITORED: % | ON: 0.38% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 20.18% | TXL: 3.88% | RXL: 3.05% | INTL: 0.64% | Energy: 704081920
MONITORED: % | ON: 0.26% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 18.03% | TXL: 3.28% | RXL: 2.41% | INTL: 0.49% | Energy: 960760080
MONITORED: % | ON: 0.19% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 16.91% | TXL: 2.91% | RXL: 2.10% | INTL: 0.42% | Energy: 1208435360
MONITORED: % | ON: 0.16% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.24% | TXL: 2.71% | RXL: 1.91% | INTL: 0.38% | Energy: 1447238960
MONITORED: % | ON: 0.13% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 15.88% | TXL: 2.60% | RXL: 1.79% | INTL: 0.36% | Energy: 1697302880
MONITORED: % | ON: 0.12% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 15.71% | TXL: 2.56% | RXL: 1.72% | INTL: 0.35% | Energy: 1899750000
MONITORED: % | ON: 0.10% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 15.43% | TXL: 2.47% | RXL: 1.64% | INTL: 0.34% | Energy: 2132362000
MONITORED: % | ON: 0.09% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 15.20% | TXL: 2.41% | RXL: 1.58% | INTL: 0.32% | Energy: 2354569600
MONITORED: % | ON: 0.08% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 15.14% | TXL: 2.42% | RXL: 1.54% | INTL: 0.31% | Energy: 2603616480
MONITORED: % | ON: 0.08% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 14.95% | TXL: 2.34% | RXL: 1.51% | INTL: 0.31% | Energy: 2828787200
MONITORED: % | ON: 0.08% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 14.91% | TXL: 2.32% | RXL: 1.50% | INTL: 0.31% | Energy: 3074146160
MONITORED: % | ON: 0.07% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 14.82% | TXL: 2.29% | RXL: 1.47% | INTL: 0.30% | Energy: 3256587360
MONITORED: % | ON: 0.07% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 14.71% | TXL: 2.26% | RXL: 1.45% | INTL: 0.30% | Energy: 3494161760
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 14.59% | TXL: 2.21% | RXL: 1.42% | INTL: 0.29% | Energy: 3718231760
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.52% | TXL: 2.19% | RXL: 1.40% | INTL: 0.29% | Energy: 3959895360
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.47% | TXL: 2.17% | RXL: 1.39% | INTL: 0.29% | Energy: 4199946560
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.46% | TXL: 2.17% | RXL: 1.39% | INTL: 0.28% | Energy: 4458850400
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.35% | TXL: 2.12% | RXL: 1.36% | INTL: 0.28% | Energy: 4662670000
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.29% | TXL: 2.10% | RXL: 1.35% | INTL: 0.28% | Energy: 4858880000
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.24% | TXL: 2.09% | RXL: 1.34% | INTL: 0.28% | Energy: 5093454400
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.18% | TXL: 2.07% | RXL: 1.33% | INTL: 0.28% | Energy: 5325681200
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.13% | TXL: 2.05% | RXL: 1.31% | INTL: 0.27% | Energy: 5559696000
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.13% | TXL: 2.06% | RXL: 1.30% | INTL: 0.27% | Energy: 5809081200
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.13% | TXL: 2.06% | RXL: 1.30% | INTL: 0.27% | Energy: 6060016160
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.11% | TXL: 2.05% | RXL: 1.30% | INTL: 0.27% | Energy: 6247442560
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.05% | TXL: 2.03% | RXL: 1.29% | INTL: 0.27% | Energy: 6469071360
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.02% | TXL: 2.02% | RXL: 1.28% | INTL: 0.27% | Energy: 6705428560
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.00% | TXL: 2.01% | RXL: 1.27% | INTL: 0.27% | Energy: 6942242160
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 13.99% | TXL: 2.02% | RXL: 1.27% | INTL: 0.26% | Energy: 7186438160
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 13.99% | TXL: 2.01% | RXL: 1.27% | INTL: 0.26% | Energy: 7434481520
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 13.97% | TXL: 2.01% | RXL: 1.26% | INTL: 0.26% | Energy: 7619706320
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 13.94% | TXL: 2.00% | RXL: 1.26% | INTL: 0.26% | Energy: 7851476320
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 13.92% | TXL: 1.99% | RXL: 1.25% | INTL: 0.26% | Energy: 8085966320
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 13.91% | TXL: 1.99% | RXL: 1.25% | INTL: 0.26% | Energy: 8320374720
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 13.89% | TXL: 1.98% | RXL: 1.24% | INTL: 0.26% | Energy: 8556600720
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 13.87% | TXL: 1.98% | RXL: 1.24% | INTL: 0.26% | Energy: 8797373120
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 13.87% | TXL: 1.97% | RXL: 1.24% | INTL: 0.25% | Energy: 8987200480
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 13.87% | TXL: 1.98% | RXL: 1.23% | INTL: 0.25% | Energy: 9241887680
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 13.86% | TXL: 1.98% | RXL: 1.23% | INTL: 0.25% | Energy: 9479264880
