MONITORED: % | ON: 6.59% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 17.59% | TXL: 0.00% | RXL: 1.05% | INTL: 0.00% | Energy: 26822400
MONITORED: % | ON: 1.13% | TX: 0.04% | RX: 0.05% | INT: 0.00% | ONL: 23.08% | TXL: 4.50% | RXL: 4.23% | INTL: 0.80% | Energy: 393927120
MONITORED: % | ON: 0.61% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 19.63% | TXL: 3.57% | RXL: 3.08% | INTL: 0.55% | Energy: 689320400
MONITORED: % | ON: 0.40% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 17.51% | TXL: 2.98% | RXL: 2.39% | INTL: 0.42% | Energy: 935349840
MONITORED: % | ON: 0.30% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 16.65% | TXL: 2.76% | RXL: 2.06% | INTL: 0.35% | Energy: 1193782800
MONITORED: % | ON: 0.24% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.20% | TXL: 2.68% | RXL: 1.85% | INTL: 0.31% | Energy: 1449652800
MONITORED: % | ON: 0.21% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 15.70% | TXL: 2.51% | RXL: 1.73% | INTL: 0.29% | Energy: 1682992720
MONITORED: % | ON: 0.18% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 15.53% | TXL: 2.47% | RXL: 1.65% | INTL: 0.28% | Energy: 1882008720
MONITORED: % | ON: 0.16% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 15.33% | TXL: 2.43% | RXL: 1.58% | INTL: 0.26% | Energy: 2123250320
MONITORED: % | ON: 0.14% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 15.17% | TXL: 2.39% | RXL: 1.52% | INTL: 0.25% | Energy: 2355911120
MONITORED: % | ON: 0.13% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 15.03% | TXL: 2.36% | RXL: 1.48% | INTL: 0.24% | Energy: 2588945120
