MONITORED: % | ON: 5.44% | TX: 0.01% | RX: 0.00% | INT: 0.00% | ONL: 16.35% | TXL: 0.66% | RXL: 0.66% | INTL: 0.00% | Energy: 24402000
MONITORED: % | ON: 0.85% | TX: 0.05% | RX: 0.07% | INT: 0.00% | ONL: 16.80% | TXL: 2.24% | RXL: 2.37% | INTL: 0.24% | Energy: 279282560
MONITORED: % | ON: 0.48% | TX: 0.04% | RX: 0.05% | INT: 0.00% | ONL: 15.00% | TXL: 1.76% | RXL: 1.84% | INTL: 0.16% | Energy: 512046720
MONITORED: % | ON: 0.32% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 13.54% | TXL: 1.34% | RXL: 1.33% | INTL: 0.13% | Energy: 700473680
MONITORED: % | ON: 0.24% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 12.86% | TXL: 1.16% | RXL: 1.08% | INTL: 0.11% | Energy: 890464160
MONITORED: % | ON: 0.19% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 12.41% | TXL: 1.03% | RXL: 0.91% | INTL: 0.10% | Energy: 1069653760
MONITORED: % | ON: 0.16% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 12.15% | TXL: 0.97% | RXL: 0.81% | INTL: 0.10% | Energy: 1254804480
MONITORED: % | ON: 0.14% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 12.02% | TXL: 0.94% | RXL: 0.76% | INTL: 0.10% | Energy: 1402728720
MONITORED: % | ON: 0.13% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 11.83% | TXL: 0.88% | RXL: 0.70% | INTL: 0.09% | Energy: 1575909920
MONITORED: % | ON: 0.11% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 11.68% | TXL: 0.84% | RXL: 0.65% | INTL: 0.09% | Energy: 1742022320
MONITORED: % | ON: 0.10% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 11.57% | TXL: 0.81% | RXL: 0.61% | INTL: 0.09% | Energy: 1912411520
MONITORED: % | ON: 0.09% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 11.49% | TXL: 0.79% | RXL: 0.58% | INTL: 0.09% | Energy: 2090513920
MONITORED: % | ON: 0.09% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 11.45% | TXL: 0.77% | RXL: 0.57% | INTL: 0.09% | Energy: 2270414400
MONITORED: % | ON: 0.29% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 11.21% | TXL: 0.76% | RXL: 0.55% | INTL: 0.09% | Energy: 2412293680
MONITORED: % | ON: 0.99% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 10.44% | TXL: 0.74% | RXL: 0.52% | INTL: 0.08% | Energy: 2590652560
MONITORED: % | ON: 1.58% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 9.78% | TXL: 0.72% | RXL: 0.48% | INTL: 0.07% | Energy: 2765894160
MONITORED: % | ON: 2.10% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 9.22% | TXL: 0.72% | RXL: 0.45% | INTL: 0.07% | Energy: 2950717360
MONITORED: % | ON: 2.55% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 8.74% | TXL: 0.71% | RXL: 0.43% | INTL: 0.06% | Energy: 3134100160
MONITORED: % | ON: 2.95% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 8.31% | TXL: 0.71% | RXL: 0.41% | INTL: 0.06% | Energy: 3321396320
MONITORED: % | ON: 3.29% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 7.94% | TXL: 0.70% | RXL: 0.39% | INTL: 0.06% | Energy: 3492760320
MONITORED: % | ON: 3.57% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 7.63% | TXL: 0.70% | RXL: 0.37% | INTL: 0.06% | Energy: 3646573120
MONITORED: % | ON: 3.86% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 7.30% | TXL: 0.69% | RXL: 0.36% | INTL: 0.05% | Energy: 3824349920
MONITORED: % | ON: 4.13% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 7.01% | TXL: 0.68% | RXL: 0.34% | INTL: 0.05% | Energy: 4009903920
MONITORED: % | ON: 4.38% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 6.74% | TXL: 0.68% | RXL: 0.33% | INTL: 0.05% | Energy: 4192784720
MONITORED: % | ON: 4.60% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 6.51% | TXL: 0.68% | RXL: 0.32% | INTL: 0.05% | Energy: 4375276720
MONITORED: % | ON: 4.80% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 6.30% | TXL: 0.68% | RXL: 0.31% | INTL: 0.04% | Energy: 4559852640
MONITORED: % | ON: 4.94% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 6.14% | TXL: 0.68% | RXL: 0.30% | INTL: 0.04% | Energy: 4705588240
MONITORED: % | ON: 5.12% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 5.94% | TXL: 0.67% | RXL: 0.29% | INTL: 0.04% | Energy: 4882278640
MONITORED: % | ON: 5.28% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 5.76% | TXL: 0.66% | RXL: 0.28% | INTL: 0.04% | Energy: 5062355840
MONITORED: % | ON: 5.43% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 5.59% | TXL: 0.66% | RXL: 0.27% | INTL: 0.04% | Energy: 5240225040
MONITORED: % | ON: 5.58% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 5.43% | TXL: 0.65% | RXL: 0.26% | INTL: 0.04% | Energy: 5418469040
MONITORED: % | ON: 5.71% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 5.30% | TXL: 0.66% | RXL: 0.25% | INTL: 0.04% | Energy: 5609082800
MONITORED: % | ON: 5.80% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 5.19% | TXL: 0.65% | RXL: 0.25% | INTL: 0.03% | Energy: 5752859600
MONITORED: % | ON: 5.92% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 5.06% | TXL: 0.65% | RXL: 0.24% | INTL: 0.03% | Energy: 5925896000
MONITORED: % | ON: 6.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 4.93% | TXL: 0.64% | RXL: 0.24% | INTL: 0.03% | Energy: 6104324400
MONITORED: % | ON: 6.13% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 4.82% | TXL: 0.64% | RXL: 0.23% | INTL: 0.03% | Energy: 6279008000
MONITORED: % | ON: 6.23% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 4.72% | TXL: 0.64% | RXL: 0.22% | INTL: 0.03% | Energy: 6467791200
MONITORED: % | ON: 6.32% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 4.61% | TXL: 0.64% | RXL: 0.22% | INTL: 0.03% | Energy: 6648773200
MONITORED: % | ON: 6.39% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 4.54% | TXL: 0.64% | RXL: 0.22% | INTL: 0.03% | Energy: 6794626240
MONITORED: % | ON: 6.47% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 4.46% | TXL: 0.64% | RXL: 0.21% | INTL: 0.03% | Energy: 6983030640
