MONITORED: % | ON: 9.86% | TX: 0.06% | RX: 0.10% | INT: 0.00% | ONL: 27.51% | TXL: 1.82% | RXL: 4.29% | INTL: 0.26% | Energy: 42524000
MONITORED: % | ON: 1.12% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 19.40% | TXL: 1.90% | RXL: 3.54% | INTL: 0.39% | Energy: 319537120
MONITORED: % | ON: 0.56% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 17.25% | TXL: 1.88% | RXL: 2.97% | INTL: 0.29% | Energy: 587186640
MONITORED: % | ON: 0.38% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.30% | TXL: 1.80% | RXL: 2.70% | INTL: 0.26% | Energy: 847581040
MONITORED: % | ON: 0.28% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 15.79% | TXL: 1.75% | RXL: 2.53% | INTL: 0.25% | Energy: 1103148640
MONITORED: % | ON: 0.23% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 15.49% | TXL: 1.73% | RXL: 2.44% | INTL: 0.23% | Energy: 1352470480
MONITORED: % | ON: 0.20% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 15.34% | TXL: 1.72% | RXL: 2.42% | INTL: 0.23% | Energy: 1607886720
MONITORED: % | ON: 0.18% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 15.22% | TXL: 1.70% | RXL: 2.39% | INTL: 0.23% | Energy: 1804076960
MONITORED: % | ON: 0.16% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 15.09% | TXL: 1.70% | RXL: 2.35% | INTL: 0.22% | Energy: 2047041680
MONITORED: % | ON: 0.14% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 15.12% | TXL: 1.70% | RXL: 2.33% | INTL: 0.22% | Energy: 2300216720
MONITORED: % | ON: 0.13% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 15.02% | TXL: 1.69% | RXL: 2.29% | INTL: 0.21% | Energy: 2534345920
MONITORED: % | ON: 0.12% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.93% | TXL: 1.69% | RXL: 2.26% | INTL: 0.21% | Energy: 2774387920
MONITORED: % | ON: 0.11% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.84% | TXL: 1.68% | RXL: 2.24% | INTL: 0.20% | Energy: 3006928160
MONITORED: % | ON: 0.10% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.77% | TXL: 1.68% | RXL: 2.21% | INTL: 0.20% | Energy: 3190403200
MONITORED: % | ON: 0.10% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.72% | TXL: 1.67% | RXL: 2.20% | INTL: 0.20% | Energy: 3437430400
MONITORED: % | ON: 0.09% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.67% | TXL: 1.66% | RXL: 2.17% | INTL: 0.20% | Energy: 3680106480
MONITORED: % | ON: 0.08% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.65% | TXL: 1.66% | RXL: 2.16% | INTL: 0.20% | Energy: 3932401600
MONITORED: % | ON: 0.08% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.62% | TXL: 1.66% | RXL: 2.15% | INTL: 0.20% | Energy: 4179998640
MONITORED: % | ON: 0.08% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.62% | TXL: 1.66% | RXL: 2.14% | INTL: 0.20% | Energy: 4439775280
MONITORED: % | ON: 0.07% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.58% | TXL: 1.66% | RXL: 2.13% | INTL: 0.19% | Energy: 4669794720
MONITORED: % | ON: 0.07% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.55% | TXL: 1.66% | RXL: 2.12% | INTL: 0.19% | Energy: 4875050960
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.52% | TXL: 1.65% | RXL: 2.11% | INTL: 0.19% | Energy: 5121562720
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.51% | TXL: 1.65% | RXL: 2.10% | INTL: 0.19% | Energy: 5373723680
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.46% | TXL: 1.65% | RXL: 2.09% | INTL: 0.19% | Energy: 5614060080
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.47% | TXL: 1.65% | RXL: 2.09% | INTL: 0.19% | Energy: 5867844320
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.44% | TXL: 1.65% | RXL: 2.09% | INTL: 0.19% | Energy: 6109881040
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.42% | TXL: 1.65% | RXL: 2.08% | INTL: 0.19% | Energy: 6299114560
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.40% | TXL: 1.65% | RXL: 2.07% | INTL: 0.19% | Energy: 6543378800
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.39% | TXL: 1.65% | RXL: 2.07% | INTL: 0.19% | Energy: 6791503760
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.39% | TXL: 1.65% | RXL: 2.07% | INTL: 0.18% | Energy: 7045932480
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 14.40% | TXL: 1.65% | RXL: 2.06% | INTL: 0.18% | Energy: 7301180560
