MONITORED: % | ON: 6.32% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 16.42% | TXL: 0.00% | RXL: 0.66% | INTL: 0.00% | Energy: 25139200
MONITORED: % | ON: 0.99% | TX: 0.05% | RX: 0.06% | INT: 0.00% | ONL: 27.97% | TXL: 7.22% | RXL: 4.20% | INTL: 0.90% | Energy: 484833760
MONITORED: % | ON: 0.51% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 22.88% | TXL: 5.26% | RXL: 3.18% | INTL: 0.66% | Energy: 814448320
MONITORED: % | ON: 0.34% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 20.21% | TXL: 4.36% | RXL: 2.61% | INTL: 0.50% | Energy: 1095851280
MONITORED: % | ON: 0.25% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 18.91% | TXL: 3.89% | RXL: 2.32% | INTL: 0.44% | Energy: 1373885360
MONITORED: % | ON: 0.20% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 18.28% | TXL: 3.68% | RXL: 2.18% | INTL: 0.41% | Energy: 1656721360
MONITORED: % | ON: 0.17% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 17.80% | TXL: 3.52% | RXL: 2.07% | INTL: 0.38% | Energy: 1934217520
MONITORED: % | ON: 0.15% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 17.46% | TXL: 3.41% | RXL: 2.00% | INTL: 0.37% | Energy: 2145133120
MONITORED: % | ON: 0.13% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 17.27% | TXL: 3.37% | RXL: 1.93% | INTL: 0.35% | Energy: 2427055120
MONITORED: % | ON: 0.12% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 17.10% | TXL: 3.33% | RXL: 1.86% | INTL: 0.33% | Energy: 2695621520
MONITORED: % | ON: 0.11% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 17.02% | TXL: 3.29% | RXL: 1.84% | INTL: 0.33% | Energy: 2975631360
MONITORED: % | ON: 0.10% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.91% | TXL: 3.25% | RXL: 1.81% | INTL: 0.31% | Energy: 3253709040
MONITORED: % | ON: 0.10% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.78% | TXL: 3.21% | RXL: 1.79% | INTL: 0.31% | Energy: 3519856640
MONITORED: % | ON: 0.09% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.70% | TXL: 3.19% | RXL: 1.77% | INTL: 0.31% | Energy: 3733233840
MONITORED: % | ON: 0.08% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 16.61% | TXL: 3.16% | RXL: 1.74% | INTL: 0.30% | Energy: 4013041840
MONITORED: % | ON: 0.08% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 16.53% | TXL: 3.14% | RXL: 1.72% | INTL: 0.29% | Energy: 4288945440
