MONITORED: % | ON: 5.02% | TX: 0.01% | RX: 0.05% | INT: 0.00% | ONL: 19.02% | TXL: 0.66% | RXL: 2.42% | INTL: 0.00% | Energy: 27059520
MONITORED: % | ON: 1.17% | TX: 0.04% | RX: 0.09% | INT: 0.00% | ONL: 25.58% | TXL: 5.40% | RXL: 4.50% | INTL: 0.92% | Energy: 438430160
MONITORED: % | ON: 0.59% | TX: 0.02% | RX: 0.05% | INT: 0.00% | ONL: 21.98% | TXL: 4.53% | RXL: 3.51% | INTL: 0.76% | Energy: 777380080
MONITORED: % | ON: 0.39% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 20.30% | TXL: 4.15% | RXL: 2.98% | INTL: 0.68% | Energy: 1097134800
MONITORED: % | ON: 0.29% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 19.40% | TXL: 3.95% | RXL: 2.69% | INTL: 0.61% | Energy: 1410934880
MONITORED: % | ON: 0.23% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 18.92% | TXL: 3.84% | RXL: 2.53% | INTL: 0.60% | Energy: 1718733280
MONITORED: % | ON: 0.20% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 18.47% | TXL: 3.69% | RXL: 2.44% | INTL: 0.58% | Energy: 2012048400
MONITORED: % | ON: 0.17% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 18.22% | TXL: 3.61% | RXL: 2.38% | INTL: 0.57% | Energy: 2242102320
MONITORED: % | ON: 0.15% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 18.04% | TXL: 3.57% | RXL: 2.32% | INTL: 0.55% | Energy: 2540392720
MONITORED: % | ON: 0.14% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 17.88% | TXL: 3.52% | RXL: 2.27% | INTL: 0.54% | Energy: 2823622480
MONITORED: % | ON: 0.13% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 17.85% | TXL: 3.52% | RXL: 2.25% | INTL: 0.53% | Energy: 3127881760
MONITORED: % | ON: 0.12% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 17.62% | TXL: 3.42% | RXL: 2.22% | INTL: 0.52% | Energy: 3396333120
MONITORED: % | ON: 0.11% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 17.51% | TXL: 3.38% | RXL: 2.20% | INTL: 0.52% | Energy: 3676753920
MONITORED: % | ON: 0.10% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 17.44% | TXL: 3.35% | RXL: 2.18% | INTL: 0.52% | Energy: 3902271120
MONITORED: % | ON: 0.09% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 17.35% | TXL: 3.33% | RXL: 2.15% | INTL: 0.52% | Energy: 4197545520
MONITORED: % | ON: 0.09% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 17.23% | TXL: 3.29% | RXL: 2.12% | INTL: 0.51% | Energy: 4474167120
MONITORED: % | ON: 0.08% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 17.19% | TXL: 3.30% | RXL: 2.11% | INTL: 0.51% | Energy: 4781468800
MONITORED: % | ON: 0.08% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 17.14% | TXL: 3.28% | RXL: 2.09% | INTL: 0.50% | Energy: 5074378640
MONITORED: % | ON: 0.07% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 17.14% | TXL: 3.29% | RXL: 2.09% | INTL: 0.50% | Energy: 5392946320
MONITORED: % | ON: 0.07% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 17.05% | TXL: 3.26% | RXL: 2.07% | INTL: 0.49% | Energy: 5657201120
MONITORED: % | ON: 0.07% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 17.01% | TXL: 3.26% | RXL: 2.06% | INTL: 0.49% | Energy: 5904155520
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 16.94% | TXL: 3.23% | RXL: 2.05% | INTL: 0.50% | Energy: 6186638720
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 16.91% | TXL: 3.23% | RXL: 2.04% | INTL: 0.50% | Energy: 6488849680
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 16.83% | TXL: 3.20% | RXL: 2.03% | INTL: 0.49% | Energy: 6762956640
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 16.84% | TXL: 3.21% | RXL: 2.03% | INTL: 0.49% | Energy: 7071251280
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 16.80% | TXL: 3.19% | RXL: 2.02% | INTL: 0.49% | Energy: 7354107840
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 16.77% | TXL: 3.17% | RXL: 2.01% | INTL: 0.49% | Energy: 7581298240
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 16.72% | TXL: 3.16% | RXL: 2.00% | INTL: 0.49% | Energy: 7860509840
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 16.69% | TXL: 3.15% | RXL: 2.00% | INTL: 0.49% | Energy: 8148421040
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 16.67% | TXL: 3.14% | RXL: 1.99% | INTL: 0.49% | Energy: 8441912640
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 16.65% | TXL: 3.14% | RXL: 1.99% | INTL: 0.49% | Energy: 8734405040
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 16.61% | TXL: 3.12% | RXL: 1.99% | INTL: 0.49% | Energy: 9012335520
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 16.60% | TXL: 3.12% | RXL: 1.98% | INTL: 0.49% | Energy: 9247592800
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 16.58% | TXL: 3.11% | RXL: 1.98% | INTL: 0.49% | Energy: 9534116000
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 16.55% | TXL: 3.10% | RXL: 1.97% | INTL: 0.49% | Energy: 9814812000
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 16.53% | TXL: 3.09% | RXL: 1.97% | INTL: 0.49% | Energy: 10094281200
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 16.52% | TXL: 3.09% | RXL: 1.97% | INTL: 0.49% | Energy: 10394409200
