MONITORED: % | ON: 4.89% | TX: 0.06% | RX: 0.09% | INT: 0.00% | ONL: 21.52% | TXL: 1.98% | RXL: 3.24% | INTL: 0.31% | Energy: 30462400
MONITORED: % | ON: 0.59% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 26.27% | TXL: 5.84% | RXL: 3.73% | INTL: 0.38% | Energy: 443224720
MONITORED: % | ON: 0.30% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 23.89% | TXL: 5.36% | RXL: 3.12% | INTL: 0.36% | Energy: 841411120
MONITORED: % | ON: 0.20% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 22.52% | TXL: 5.12% | RXL: 2.74% | INTL: 0.33% | Energy: 1218731840
MONITORED: % | ON: 0.15% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 21.81% | TXL: 4.97% | RXL: 2.52% | INTL: 0.30% | Energy: 1591628080
MONITORED: % | ON: 0.12% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 21.51% | TXL: 4.94% | RXL: 2.42% | INTL: 0.28% | Energy: 1965234240
MONITORED: % | ON: 0.10% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 21.43% | TXL: 4.94% | RXL: 2.38% | INTL: 0.28% | Energy: 2354478560
MONITORED: % | ON: 0.09% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 21.27% | TXL: 4.91% | RXL: 2.32% | INTL: 0.27% | Energy: 2644607360
MONITORED: % | ON: 0.08% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 21.10% | TXL: 4.85% | RXL: 2.28% | INTL: 0.26% | Energy: 3002139280
MONITORED: % | ON: 0.08% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 20.97% | TXL: 4.83% | RXL: 2.26% | INTL: 0.25% | Energy: 3348211760
MONITORED: % | ON: 0.07% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 20.86% | TXL: 4.81% | RXL: 2.22% | INTL: 0.24% | Energy: 3697483200
MONITORED: % | ON: 0.07% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 20.74% | TXL: 4.78% | RXL: 2.20% | INTL: 0.24% | Energy: 4049323760
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 20.67% | TXL: 4.77% | RXL: 2.16% | INTL: 0.24% | Energy: 4402384240
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 20.59% | TXL: 4.74% | RXL: 2.14% | INTL: 0.24% | Energy: 4673205280
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 20.54% | TXL: 4.74% | RXL: 2.13% | INTL: 0.24% | Energy: 5044438160
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 20.45% | TXL: 4.73% | RXL: 2.11% | INTL: 0.23% | Energy: 5396129360
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 20.41% | TXL: 4.71% | RXL: 2.10% | INTL: 0.23% | Energy: 5764410960
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 20.35% | TXL: 4.70% | RXL: 2.08% | INTL: 0.23% | Energy: 6119853920
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 20.30% | TXL: 4.68% | RXL: 2.08% | INTL: 0.23% | Energy: 6486335920
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 20.23% | TXL: 4.65% | RXL: 2.06% | INTL: 0.23% | Energy: 6814086800
