MONITORED: % | ON: 8.06% | TX: 0.05% | RX: 0.08% | INT: 0.00% | ONL: 26.54% | TXL: 1.70% | RXL: 3.71% | INTL: 0.02% | Energy: 39399440
MONITORED: % | ON: 0.81% | TX: 0.05% | RX: 0.04% | INT: 0.00% | ONL: 26.57% | TXL: 5.59% | RXL: 4.47% | INTL: 0.74% | Energy: 449101920
MONITORED: % | ON: 0.41% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 22.43% | TXL: 4.56% | RXL: 3.49% | INTL: 0.67% | Energy: 786508480
MONITORED: % | ON: 0.27% | TX: 0.02% | RX: 0.01% | INT: 0.00% | ONL: 20.75% | TXL: 4.19% | RXL: 3.03% | INTL: 0.64% | Energy: 1114357760
MONITORED: % | ON: 0.21% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 19.82% | TXL: 3.91% | RXL: 2.81% | INTL: 0.62% | Energy: 1430964800
MONITORED: % | ON: 0.16% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 19.33% | TXL: 3.82% | RXL: 2.66% | INTL: 0.61% | Energy: 1745562160
MONITORED: % | ON: 0.14% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 19.01% | TXL: 3.73% | RXL: 2.59% | INTL: 0.61% | Energy: 2061271120
MONITORED: % | ON: 0.12% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 18.74% | TXL: 3.65% | RXL: 2.53% | INTL: 0.60% | Energy: 2297215600
MONITORED: % | ON: 0.11% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 18.44% | TXL: 3.55% | RXL: 2.46% | INTL: 0.60% | Energy: 2584220960
MONITORED: % | ON: 0.10% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 18.37% | TXL: 3.55% | RXL: 2.44% | INTL: 0.60% | Energy: 2889809360
MONITORED: % | ON: 0.09% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 18.23% | TXL: 3.52% | RXL: 2.42% | INTL: 0.59% | Energy: 3181631840
MONITORED: % | ON: 0.09% | TX: 0.01% | RX: 0.00% | INT: 0.00% | ONL: 18.01% | TXL: 3.44% | RXL: 2.38% | INTL: 0.60% | Energy: 3459842560
MONITORED: % | ON: 0.08% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 17.80% | TXL: 3.36% | RXL: 2.35% | INTL: 0.59% | Energy: 3724789200
MONITORED: % | ON: 0.07% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 17.71% | TXL: 3.32% | RXL: 2.34% | INTL: 0.59% | Energy: 3947945200
MONITORED: % | ON: 0.07% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 17.67% | TXL: 3.32% | RXL: 2.31% | INTL: 0.59% | Energy: 4260731200
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 17.55% | TXL: 3.28% | RXL: 2.29% | INTL: 0.59% | Energy: 4543955120
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 17.54% | TXL: 3.30% | RXL: 2.28% | INTL: 0.58% | Energy: 4863861040
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 17.49% | TXL: 3.28% | RXL: 2.27% | INTL: 0.58% | Energy: 5164072400
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 17.58% | TXL: 3.32% | RXL: 2.27% | INTL: 0.57% | Energy: 5517416880
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 17.50% | TXL: 3.30% | RXL: 2.25% | INTL: 0.57% | Energy: 5789416880
