MONITORED: % | ON: 3.86% | TX: 0.04% | RX: 0.04% | INT: 0.00% | ONL: 19.26% | TXL: 1.44% | RXL: 2.87% | INTL: 0.02% | Energy: 26501040
MONITORED: % | ON: 0.82% | TX: 0.03% | RX: 0.05% | INT: 0.00% | ONL: 26.29% | TXL: 5.64% | RXL: 4.80% | INTL: 0.95% | Energy: 445494080
MONITORED: % | ON: 0.42% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 23.31% | TXL: 5.18% | RXL: 3.75% | INTL: 0.71% | Energy: 823976800
MONITORED: % | ON: 0.27% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 21.69% | TXL: 4.83% | RXL: 3.21% | INTL: 0.59% | Energy: 1175219600
MONITORED: % | ON: 0.21% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 20.81% | TXL: 4.61% | RXL: 2.94% | INTL: 0.53% | Energy: 1518599280
MONITORED: % | ON: 0.17% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 20.41% | TXL: 4.54% | RXL: 2.81% | INTL: 0.50% | Energy: 1862743680
MONITORED: % | ON: 0.14% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 20.22% | TXL: 4.54% | RXL: 2.72% | INTL: 0.47% | Energy: 2219816080
MONITORED: % | ON: 0.13% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 20.04% | TXL: 4.50% | RXL: 2.65% | INTL: 0.45% | Energy: 2488554560
MONITORED: % | ON: 0.11% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 19.85% | TXL: 4.45% | RXL: 2.57% | INTL: 0.44% | Energy: 2821094160
MONITORED: % | ON: 0.10% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 19.68% | TXL: 4.39% | RXL: 2.53% | INTL: 0.43% | Energy: 3136708560
MONITORED: % | ON: 0.09% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 19.64% | TXL: 4.39% | RXL: 2.51% | INTL: 0.43% | Energy: 3475303440
MONITORED: % | ON: 0.09% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 19.62% | TXL: 4.39% | RXL: 2.47% | INTL: 0.41% | Energy: 3824493600
MONITORED: % | ON: 0.08% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 19.55% | TXL: 4.38% | RXL: 2.44% | INTL: 0.41% | Energy: 4156097200
MONITORED: % | ON: 0.08% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 19.48% | TXL: 4.36% | RXL: 2.41% | INTL: 0.40% | Energy: 4413912640
MONITORED: % | ON: 0.07% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 19.45% | TXL: 4.36% | RXL: 2.40% | INTL: 0.40% | Energy: 4766098240
MONITORED: % | ON: 0.07% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 19.37% | TXL: 4.35% | RXL: 2.37% | INTL: 0.39% | Energy: 5100868640
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 19.30% | TXL: 4.33% | RXL: 2.36% | INTL: 0.39% | Energy: 5438487040
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 19.25% | TXL: 4.32% | RXL: 2.34% | INTL: 0.38% | Energy: 5777140240
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 19.24% | TXL: 4.30% | RXL: 2.35% | INTL: 0.38% | Energy: 6132455840
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 19.17% | TXL: 4.28% | RXL: 2.33% | INTL: 0.38% | Energy: 6442306640
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 19.15% | TXL: 4.28% | RXL: 2.32% | INTL: 0.38% | Energy: 6738391440
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 19.10% | TXL: 4.27% | RXL: 2.30% | INTL: 0.37% | Energy: 7070987600
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 19.09% | TXL: 4.26% | RXL: 2.30% | INTL: 0.38% | Energy: 7422159040
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 19.05% | TXL: 4.25% | RXL: 2.29% | INTL: 0.37% | Energy: 7761755840
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 19.02% | TXL: 4.24% | RXL: 2.28% | INTL: 0.37% | Energy: 8095521280
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 18.98% | TXL: 4.23% | RXL: 2.27% | INTL: 0.37% | Energy: 8423962880
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 18.96% | TXL: 4.22% | RXL: 2.27% | INTL: 0.36% | Energy: 8693705680
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 18.90% | TXL: 4.20% | RXL: 2.26% | INTL: 0.36% | Energy: 9010162480
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 18.91% | TXL: 4.21% | RXL: 2.25% | INTL: 0.36% | Energy: 9367619680
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 18.90% | TXL: 4.20% | RXL: 2.25% | INTL: 0.36% | Energy: 9707227280
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 18.89% | TXL: 4.20% | RXL: 2.24% | INTL: 0.36% | Energy: 10051904560
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 18.91% | TXL: 4.21% | RXL: 2.24% | INTL: 0.36% | Energy: 10416556480
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 18.89% | TXL: 4.20% | RXL: 2.24% | INTL: 0.36% | Energy: 10677488080
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 18.89% | TXL: 4.20% | RXL: 2.23% | INTL: 0.36% | Energy: 11022312480
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 18.87% | TXL: 4.19% | RXL: 2.23% | INTL: 0.35% | Energy: 11358449280
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 18.86% | TXL: 4.19% | RXL: 2.22% | INTL: 0.35% | Energy: 11694378080
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 18.86% | TXL: 4.20% | RXL: 2.22% | INTL: 0.35% | Energy: 12050466480
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 18.88% | TXL: 4.20% | RXL: 2.22% | INTL: 0.35% | Energy: 12414746800
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 18.86% | TXL: 4.19% | RXL: 2.22% | INTL: 0.35% | Energy: 12674340480
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 18.85% | TXL: 4.19% | RXL: 2.21% | INTL: 0.35% | Energy: 13018311680
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 18.86% | TXL: 4.20% | RXL: 2.21% | INTL: 0.35% | Energy: 13369917680
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 18.86% | TXL: 4.20% | RXL: 2.21% | INTL: 0.35% | Energy: 13723418800
MONITORED: % | ON: 0.02% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 18.86% | TXL: 4.20% | RXL: 2.20% | INTL: 0.35% | Energy: 14075078800
MONITORED: % | ON: 0.02% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 18.86% | TXL: 4.20% | RXL: 2.20% | INTL: 0.35% | Energy: 14415448480
MONITORED: % | ON: 0.02% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 18.83% | TXL: 4.20% | RXL: 2.20% | INTL: 0.35% | Energy: 14708885840
MONITORED: % | ON: 0.02% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 18.85% | TXL: 4.20% | RXL: 2.20% | INTL: 0.35% | Energy: 15031877040
